CPSE,Material_Code,Material_Description,Material_Category,Material_Type,Specification,Material_Grade,Size,Length,Diameter,Coating,Unit,Manufacturer,Manufacturer_Part_No,Plant,Material_Status,Annual_Consumption,Last_Purchase_Date,Normalized_Description,Normalized_Specification,Normalized_Material_Grade,Normalized_Size,Normalized_Coating,Normalized_Manufacturer,Normalized_Manufacturer_Part_No,Normalized_Unit,Normalization_Changed,Normalization_Rule_Count,Normalization_Rules_Applied
ONGC,ONGC-244839,GATE VALVE 1 in API 600,Valves,Gate Valve,API 600; 1 in; ASTM A216 WCB,ASTM A216 WCB,1 in,,,Painted,NOS,ABC Industrial Products,ABC-505-60,Ahmedabad Asset,Active,6492,2026-08-24,gate valve 1 in api 600,api 600; 1 in; astm a216 wcb,astm a216 wcb,1 in,painted,ABC Industrial Products,ABC-505-60,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-633093,GATE VALVE FLANGED 1 in ASTM A216 WCB,Valves,Gate Valve,API 600; 1 in; ASTM A216 WCB,ASTM A216 WCB,1 in,,,Painted,NOS,Precision Fasteners,PRE-793-93,Visakh Refinery,Blocked,1639,2024-02-10,gate valve flanged 1 in astm a216 wcb,api 600; 1 in; astm a216 wcb,astm a216 wcb,1 in,painted,Precision Fasteners,PRE-793-93,NOS,True,1,LOWERCASE_TEXT
CPCL,CPCL-908167,GLOBE VALVE 3 in API 623,Valves,Globe Valve,API 623; 3 in; ASTM A216 WCB,ASTM A216 WCB,3 in,,,Painted,NOS,Prime Electricals,PRI-559-97,Manali Terminal,Active,18511,2024-12-21,globe valve 3 in api 623,api 623; 3 in; astm a216 wcb,astm a216 wcb,3 in,painted,Prime Electricals,PRI-559-97,NOS,True,1,LOWERCASE_TEXT
IOCL,IOCL-156397,FLOATING BALL VALVE 1 in,Valves,Ball Valve,API 608; 1 in; SS 316,SS 316,1 in,,,SS,NOS,Bharat Industrial Works,BHA-350-93,Panipat Refinery,Active,24818,2025-11-27,floating ball valve 1 in,api 608; 1 in; ss 316,ss 316,1 in,ss,Bharat Industrial Works,BHA-350-93,NOS,True,1,LOWERCASE_TEXT
IOCL,IOCL-555519,HEX NUT M12 GALVANIZED,Fasteners,Nut,IS 1364; M12; Galvanized,Carbon Steel,M12,,,Galvanized,NOS,Shree Valves & Fittings,SHR-353-42,Paradip Refinery,Active,1256,2024-11-14,hexagonal nut m12 galvanized,is 1364; m12; galvanized,carbon steel,m12,galvanized,Shree Valves & Fittings,SHR-353-42,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
HPCL,HPCL-599831,GATE VALVE 2 in API 600,Valves,Gate Valve,API 600; 2 in; ASTM A216 WCB,ASTM A216 WCB,2 in,,,Painted,NOS,Bharat Industrial Works,BHA-669-72,Visakh Refinery,Inactive,12189,2025-11-07,gate valve 2 in api 600,api 600; 2 in; astm a216 wcb,astm a216 wcb,2 in,painted,Bharat Industrial Works,BHA-669-72,NOS,True,1,LOWERCASE_TEXT
IOCL,IOCL-737026,PLAIN WASHER M8 ZINC PLATED,Fasteners,Washer,IS 2016; M8; Zinc Plated,Carbon Steel,M8,,,Zinc Plated,NOS,ABC Industrial Products,ABC-934-89,Paradip Refinery,Active,20301,2025-10-15,plain washer m8 zinc plated,is 2016; m8; zinc plated,carbon steel,m8,zinc plated,ABC Industrial Products,ABC-934-89,NOS,True,1,LOWERCASE_TEXT
CPCL,CPCL-559338,WELD NECK FLANGE 2 in ASME B16.5,Pipes & Fittings,Flange,ASME B16.5; 2 in; ASTM A105,ASTM A105,2 in,,,Bare,MTR,Metro Pumps & Valves,MET-199-13,Manali Terminal,Active,21167,2023-12-19,weld neck flange 2 in asme b16.5,asme b16.5; 2 in; astm a105,astm a105,2 in,bare,Metro Pumps & Valves,MET-199-13,MTR,True,1,LOWERCASE_TEXT
ONGC,ONGC-813164,GATE VALVE 4 in API 600,Valves,Gate Valve,API 600; 4 in; ASTM A216 WCB,ASTM A216 WCB,4 in,,,Painted,NOS,Hindustan Mechanical,HIN-157-83,Mehsana Asset,Active,6253,2026-08-10,gate valve 4 in api 600,api 600; 4 in; astm a216 wcb,astm a216 wcb,4 in,painted,Hindustan Mechanical,HIN-157-83,NOS,True,1,LOWERCASE_TEXT
CPCL,CPCL-353411,WELD NECK FLANGE 2 in ASME B16.5,Pipes & Fittings,Flange,ASME B16.5; 2 in; ASTM A105,ASTM A105,2 in,,,Bare,MTR,Precision Fasteners,PRE-794-28,Manali Terminal,Active,16450,2025-01-28,weld neck flange 2 in asme b16.5,asme b16.5; 2 in; astm a105,astm a105,2 in,bare,Precision Fasteners,PRE-794-28,MTR,True,1,LOWERCASE_TEXT
ONGC,ONGC-905489,PRESSURE INDICATOR 0-5 bar,Instrumentation,Pressure Gauge,EN 837-1; Range 0-5 bar,SS 304,0-5 bar,,,SS,NOS,Metro Pumps & Valves,MET-336-13,Mumbai Offshore,Active,22820,2024-10-03,pressure indicator 0-5 bar,en 837-1; range 0-5 bar,ss 304,0-5 bar,ss,Metro Pumps & Valves,MET-336-13,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-689187,WELD NECK FLANGE 3 in ASTM A105,Pipes & Fittings,Flange,ASME B16.5; 3 in; ASTM A105,ASTM A105,3 in,,,Bare,MTR,National Bearing Works,NAT-981-25,Mumbai Refinery,Active,12268,2024-10-15,weld neck flange 3 in astm a105,asme b16.5; 3 in; astm a105,astm a105,3 in,bare,National Bearing Works,NAT-981-25,MTR,True,1,LOWERCASE_TEXT
IOCL,IOCL-904574,SWG 1 in,Seals,Gasket,ASME B16.20; 1 in; Graphite/SS 316,Graphite/SS 316,1 in,,,SS,NOS,Bharat Industrial Works,BHA-483-44,Panipat Refinery,Active,515,2026-02-17,swg 1 in,asme b16.20; 1 in; graphite/ss 316,graphite/ss 316,1 in,ss,Bharat Industrial Works,BHA-483-44,NOS,True,1,LOWERCASE_TEXT
IOCL,IOCL-344383,WELD NECK FLANGE 6 in ASME B16.5,Pipes & Fittings,Flange,ASME B16.5; 6 in; ASTM A105,ASTM A105,6 in,,,Bare,MTR,Hindustan Mechanical,HIN-958-63,Paradip Refinery,Active,15818,2026-03-11,weld neck flange 6 in asme b16.5,asme b16.5; 6 in; astm a105,astm a105,6 in,bare,Hindustan Mechanical,HIN-958-63,MTR,True,1,LOWERCASE_TEXT
IOCL,IOCL-644169,HRC CARTRIDGE 32 A,Electrical,Fuse,IS 13703; 32 A,Ceramic,32 A,,,,MTR,Prime Electricals,PRI-900-98,Panipat Refinery,Active,12167,2025-12-03,high rupturing capacity cartridge 32 a,is 13703; 32 a,ceramic,32 a,,Prime Electricals,PRI-900-98,MTR,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
HPCL,HPCL-549743,90 DEGREE ELBOW 2 in ASTM A234 WPB,Pipes & Fittings,Elbow,ASME B16.9; 2 in; ASTM A234 WPB,ASTM A234 WPB,2 in,,,Bare,MTR,ABC Industrial Products,ABC-367-79,Mumbai Refinery,Active,10978,2024-07-09,90 degree elbow 2 in astm a234 wpb,asme b16.9; 2 in; astm a234 wpb,astm a234 wpb,2 in,bare,ABC Industrial Products,ABC-367-79,MTR,True,1,LOWERCASE_TEXT
ONGC,ONGC-417244,90 DEGREE ELBOW 2 in ASTM A234 WPB,Pipes & Fittings,Elbow,ASME B16.9; 2 in; ASTM A234 WPB,ASTM A234 WPB,2 in,,,Bare,MTR,Apex Industrial Systems,APE-582-91,Mehsana Asset,Blocked,8176,2026-01-12,90 degree elbow 2 in astm a234 wpb,asme b16.9; 2 in; astm a234 wpb,astm a234 wpb,2 in,bare,Apex Industrial Systems,APE-582-91,MTR,True,1,LOWERCASE_TEXT
CPCL,CPCL-213170,HRC CARTRIDGE 2 A,Electrical,Fuse,IS 13703; 2 A,Ceramic,2 A,,,,MTR,Eastern Cables,EAS-467-58,Chennai Refinery,Blocked,14229,2025-11-14,high rupturing capacity cartridge 2 a,is 13703; 2 a,ceramic,2 a,,Eastern Cables,EAS-467-58,MTR,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
IOCL,IOCL-313163,GALV HEX BOLT M10 X 60 MM,Fasteners,Bolt,IS 1363; M10 x 60 mm; Galvanized,Carbon Steel,M10,60 mm,20 mm,Galvanized,NOS,National Bearing Works,NAT-111-11,Panipat Refinery,Active,24080,2024-02-22,galvanized hexagonal bolt m10 x 60 mm,is 1363; m10 x 60 mm; galvanized,carbon steel,m10,galvanized,National Bearing Works,NAT-111-11,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
CPCL,CPCL-501033,SPIRAL WOUND GASKET 1 in Graphite/SS 316,Seals,Gasket,ASME B16.20; 1 in; Graphite/SS 316,Graphite/SS 316,1 in,,,SS,NOS,National Bearing Works,NAT-733-99,Chennai Refinery,Active,11778,2025-09-30,spiral wound gasket 1 in graphite/stainless steel 316,asme b16.20; 1 in; graphite/ss 316,graphite/ss 316,1 in,ss,National Bearing Works,NAT-733-99,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
HPCL,HPCL-402886,WASHER M10 GALVANIZED,Fasteners,Washer,IS 2016; M10; Galvanized,Carbon Steel,M10,,,Galvanized,NOS,National Bearing Works,NAT-186-89,Visakh Refinery,Active,9408,2025-03-29,washer m10 galvanized,is 2016; m10; galvanized,carbon steel,m10,galvanized,National Bearing Works,NAT-186-89,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-145892,HYD HOSE 1-1/2 in 5000 MM,Hoses,Hydraulic Hose,SAE 100 R2; 1-1/2 in; 5000 mm,Synthetic Rubber,1-1/2 in,5000 mm,,Rubber,MTR,National Bearing Works,NAT-952-50,Vishakha Terminal,Active,8524,2026-08-08,hyd hose 1-1/2 in 5000 mm,sae 100 r2; 1-1/2 in; 5000 mm,synthetic rubber,1-1/2 in,rubber,National Bearing Works,NAT-952-50,MTR,True,1,LOWERCASE_TEXT
HPCL,HPCL-671235,PRESSURE RELIEF VALVE 4 in SS 316,Safety,Safety Valve,API 526; 4 in; SS 316,SS 316,4 in,,,SS,NOS,ABC Industrial Products,ABC-950-64,Visakh Refinery,Active,13102,2025-03-14,pressure relief valve 4 in stainless steel 316,api 526; 4 in; ss 316,ss 316,4 in,ss,ABC Industrial Products,ABC-950-64,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
ONGC,ONGC-360830,PLAIN WASHER M10 ZINC PLATED,Fasteners,Washer,IS 2016; M10; Zinc Plated,Carbon Steel,M10,,,Zinc Plated,NOS,Hindustan Mechanical,HIN-913-91,Mehsana Asset,Active,5530,2024-03-09,plain washer m10 zinc plated,is 2016; m10; zinc plated,carbon steel,m10,zinc plated,Hindustan Mechanical,HIN-913-91,NOS,True,1,LOWERCASE_TEXT
IOCL,IOCL-298108,SPIRAL WOUND GASKET 2 in Graphite/SS 316,Seals,Gasket,ASME B16.20; 2 in; Graphite/SS 316,Graphite/SS 316,2 in,,,SS,NOS,Eastern Cables,EAS-923-72,Panipat Refinery,Active,17096,2024-05-29,spiral wound gasket 2 in graphite/stainless steel 316,asme b16.20; 2 in; graphite/ss 316,graphite/ss 316,2 in,ss,Eastern Cables,EAS-923-72,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
ONGC,ONGC-516625,1.5 sq mm SQ MM POWER CABLE,Electrical,Cable,IS 7098; 1.5 sq mm; 100 m,XLPE Copper,1.5 sq mm,100 mm,,PVC,MTR,National Bearing Works,NAT-771-26,Mumbai Offshore,Active,15286,2026-01-16,1.5 sq mm sq mm power cable,is 7098; 1.5 sq mm; 100 m,xlpe copper,1.5 sq mm,pvc,National Bearing Works,NAT-771-26,MTR,True,1,LOWERCASE_TEXT
CPCL,CPCL-874940,PIPE 4 in ASTM A106 Gr.B,Pipes & Fittings,Pipe,API 5L; 4 in; ASTM A106 Gr.B,ASTM A106 Gr.B,4 in,6000 mm,,Black,MTR,National Bearing Works,NAT-983-58,Chennai Refinery,Active,23668,2024-05-16,pipe 4 in astm a106 gr.b,api 5l; 4 in; astm a106 gr.b,astm a106 gr.b,4 in,black,National Bearing Works,NAT-983-58,MTR,True,1,LOWERCASE_TEXT
HPCL,HPCL-674627,SEAMLESS STEEL PIPE 2 in ASTM A106 Gr.B,Pipes & Fittings,Pipe,API 5L; 2 in; ASTM A106 Gr.B,ASTM A106 Gr.B,2 in,3000 mm,,Bare,MTR,Bharat Industrial Works,BHA-796-79,Mumbai Refinery,Active,16799,2024-01-18,seamless steel pipe 2 in astm a106 gr.b,api 5l; 2 in; astm a106 gr.b,astm a106 gr.b,2 in,bare,Bharat Industrial Works,BHA-796-79,MTR,True,1,LOWERCASE_TEXT
ONGC,ONGC-859781,HEXAGONAL HEAD BOLT M16 X 30,Fasteners,Bolt,IS 1363; M16 x 30 mm; Galvanized,Carbon Steel,M16,30 mm,20 mm,Galvanized,NOS,Bharat Industrial Works,BHA-931-14,Mumbai Offshore,Active,15081,2023-12-23,hexagonal head bolt m16 x 30,is 1363; m16 x 30 mm; galvanized,carbon steel,m16,galvanized,Bharat Industrial Works,BHA-931-14,NOS,True,1,LOWERCASE_TEXT
ONGC,ONGC-721480,FLOATING BALL VALVE 1/2 in SS 316,Valves,Ball Valve,API 608; 1/2 in; SS 316,SS 316,1/2 in,,,SS,NOS,Metro Pumps & Valves,MET-318-80,Ahmedabad Asset,Active,7679,2025-03-10,floating ball valve 1/2 in stainless steel 316,api 608; 1/2 in; ss 316,ss 316,1/2 in,ss,Metro Pumps & Valves,MET-318-80,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
IOCL,IOCL-694739,FLOATING BALL VALVE 1 in,Valves,Ball Valve,API 608; 1 in; SS 316,SS 316,1 in,,,SS,NOS,Supreme Engineering,SUP-458-72,Panipat Refinery,Active,19602,2025-12-10,floating ball valve 1 in,api 608; 1 in; ss 316,ss 316,1 in,ss,Supreme Engineering,SUP-458-72,NOS,True,1,LOWERCASE_TEXT
CPCL,CPCL-483031,CENTRIFUGAL PUMP 25 mm SS 316,Pumps,Centrifugal Pump,API 610; 25 mm; SS 316,SS 316,25 mm,,,Painted,NOS,Bharat Industrial Works,BHA-979-22,Manali Terminal,Inactive,18535,2025-02-23,centrifugal pump 25 mm stainless steel 316,api 610; 25 mm; ss 316,ss 316,25 mm,painted,Bharat Industrial Works,BHA-979-22,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
HPCL,HPCL-905833,RTD SENSOR 3-wire,Instrumentation,Temperature Sensor,IEC 60751; 3-wire; 500 mm,Pt100,3-wire,500 mm,8 mm,SS,NOS,Supreme Engineering,SUP-951-43,Visakh Refinery,Active,24037,2024-04-30,rtd sensor 3-wire,iec 60751; 3-wire; 500 mm,pt100,3-wire,ss,Supreme Engineering,SUP-951-43,NOS,True,1,LOWERCASE_TEXT
IOCL,IOCL-393249,HEX HEAD BOLT M20-30 MM ZINC PLATED,Fasteners,Bolt,IS 1363; M20 x 30 mm; Zinc Plated,Carbon Steel,M20,30 mm,8 mm,Zinc Plated,NOS,National Bearing Works,NAT-217-93,Panipat Refinery,Active,20876,2025-11-01,hexagonal head bolt m20-30 mm zinc plated,is 1363; m20 x 30 mm; zinc plated,carbon steel,m20,zinc plated,National Bearing Works,NAT-217-93,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
CPCL,CPCL-474203,FLAT WASHER M10,Fasteners,Washer,IS 2016; M10; Zinc Plated,Carbon Steel,M10,,,Zinc Plated,NOS,Prime Electricals,PRI-791-16,Chennai Refinery,Blocked,716,2023-12-24,flat washer m10,is 2016; m10; zinc plated,carbon steel,m10,zinc plated,Prime Electricals,PRI-791-16,NOS,True,1,LOWERCASE_TEXT
IOCL,IOCL-847851,CENTRIFUGAL PUMP 80 mm SS 316,Pumps,Centrifugal Pump,API 610; 80 mm; SS 316,SS 316,80 mm,,,Painted,NOS,ABC Industrial Products,ABC-607-79,Paradip Refinery,Active,11282,2024-11-09,centrifugal pump 80 mm stainless steel 316,api 610; 80 mm; ss 316,ss 316,80 mm,painted,ABC Industrial Products,ABC-607-79,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
IOCL,IOCL-486471,4 sq mm SQ MM POWER CABLE,Electrical,Cable,IS 7098; 4 sq mm; 100 m,XLPE Copper,4 sq mm,100 mm,,PVC,MTR,Apex Industrial Systems,APE-674-54,Paradip Refinery,Inactive,18890,2025-07-29,4 sq mm sq mm power cable,is 7098; 4 sq mm; 100 m,xlpe copper,4 sq mm,pvc,Apex Industrial Systems,APE-674-54,MTR,True,1,LOWERCASE_TEXT
HPCL,HPCL-663810,POWER CABLE 10 sq mm XLPE Aluminium,Electrical,Cable,IS 7098; 10 sq mm; 1000 m,XLPE Aluminium,10 sq mm,1000 mm,,PVC,MTR,Larsen Engineering,LAR-468-76,Visakh Refinery,Active,19427,2024-02-26,power cable 10 sq mm xlpe aluminium,is 7098; 10 sq mm; 1000 m,xlpe aluminium,10 sq mm,pvc,Larsen Engineering,LAR-468-76,MTR,True,1,LOWERCASE_TEXT
IOCL,IOCL-666311,DEEP GROOVE BEARING 6202,Bearings,Ball Bearing,ISO 15; Bearing 6202,Chrome Steel,6202,,,,NOS,Metro Pumps & Valves,MET-656-36,Panipat Refinery,Active,9777,2024-04-21,deep groove bearing 6202,iso 15; bearing 6202,chrome steel,6202,,Metro Pumps & Valves,MET-656-36,NOS,True,1,LOWERCASE_TEXT
ONGC,ONGC-626197,BOURDON PRESSURE GAUGE 0-100 bar,Instrumentation,Pressure Gauge,EN 837-1; Range 0-100 bar,SS 304,0-100 bar,,,SS,NOS,Supreme Engineering,SUP-274-14,Mehsana Asset,Active,7544,2024-01-01,bourdon pressure gauge 0-100 bar,en 837-1; range 0-100 bar,ss 304,0-100 bar,ss,Supreme Engineering,SUP-274-14,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-950698,HORIZONTAL CENTRIFUGAL PUMP 50 mm,Pumps,Centrifugal Pump,API 610; 50 mm; SS 316,SS 316,50 mm,,,Painted,NOS,Shree Valves & Fittings,SHR-827-22,Visakh Refinery,Active,16569,2025-10-01,horizontal centrifugal pump 50 mm,api 610; 50 mm; ss 316,ss 316,50 mm,painted,Shree Valves & Fittings,SHR-827-22,NOS,True,1,LOWERCASE_TEXT
IOCL,IOCL-448367,RTD PT100 3-wire 300 MM,Instrumentation,Temperature Sensor,IEC 60751; 3-wire; 300 mm,Pt100,3-wire,300 mm,10 mm,SS,NOS,Prime Electricals,PRI-798-32,Panipat Refinery,Active,8247,2023-12-21,rtd pt100 3-wire 300 mm,iec 60751; 3-wire; 300 mm,pt100,3-wire,ss,Prime Electricals,PRI-798-32,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-153892,HRC CARTRIDGE 32 A,Electrical,Fuse,IS 13703; 32 A,Ceramic,32 A,,,,MTR,Precision Fasteners,PRE-703-26,Mumbai Refinery,Active,20865,2024-03-12,high rupturing capacity cartridge 32 a,is 13703; 32 a,ceramic,32 a,,Precision Fasteners,PRE-703-26,MTR,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
IOCL,IOCL-121970,SEAMLESS STEEL PIPE 1/2 in ASTM A106 Gr.B,Pipes & Fittings,Pipe,API 5L; 1/2 in; ASTM A106 Gr.B,ASTM A106 Gr.B,1/2 in,3000 mm,,Black,MTR,Larsen Engineering,LAR-665-86,Paradip Refinery,Active,21753,2024-07-24,seamless steel pipe 1/2 in astm a106 gr.b,api 5l; 1/2 in; astm a106 gr.b,astm a106 gr.b,1/2 in,black,Larsen Engineering,LAR-665-86,MTR,True,1,LOWERCASE_TEXT
ONGC,ONGC-866655,PRESSURE RELIEF VALVE 1 in SS 316,Safety,Safety Valve,API 526; 1 in; SS 316,SS 316,1 in,,,SS,NOS,Bharat Industrial Works,BHA-565-28,Ahmedabad Asset,Active,23433,2025-12-16,pressure relief valve 1 in stainless steel 316,api 526; 1 in; ss 316,ss 316,1 in,ss,Bharat Industrial Works,BHA-565-28,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
HPCL,HPCL-803682,CENTRIFUGAL PUMP 40 mm SS 316,Pumps,Centrifugal Pump,API 610; 40 mm; SS 316,SS 316,40 mm,,,Painted,NOS,National Bearing Works,NAT-460-85,Vishakha Terminal,Active,9296,2025-11-06,centrifugal pump 40 mm stainless steel 316,api 610; 40 mm; ss 316,ss 316,40 mm,painted,National Bearing Works,NAT-460-85,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
ONGC,ONGC-580845,GATE VALVE FLANGED 1 in,Valves,Gate Valve,API 600; 1 in; ASTM A216 WCB,ASTM A216 WCB,1 in,,,Painted,NOS,Hindustan Mechanical,HIN-916-39,Mehsana Asset,Active,22944,2025-04-12,gate valve flanged 1 in,api 600; 1 in; astm a216 wcb,astm a216 wcb,1 in,painted,Hindustan Mechanical,HIN-916-39,NOS,True,1,LOWERCASE_TEXT
ONGC,ONGC-781255,2.5 sq mm SQ MM POWER CABLE,Electrical,Cable,IS 7098; 2.5 sq mm; 500 m,XLPE Copper,2.5 sq mm,500 mm,,PVC,MTR,Precision Fasteners,PRE-494-41,Mumbai Offshore,Active,14096,2025-01-08,2.5 sq mm sq mm power cable,is 7098; 2.5 sq mm; 500 m,xlpe copper,2.5 sq mm,pvc,Precision Fasteners,PRE-494-41,MTR,True,1,LOWERCASE_TEXT
IOCL,IOCL-963179,PRESSURE GAUGE 0-25 bar,Instrumentation,Pressure Gauge,EN 837-1; Range 0-25 bar,SS 304,0-25 bar,,,SS,NOS,Eastern Cables,EAS-353-14,Mathura Refinery,Active,23282,2025-02-10,pressure gauge 0-25 bar,en 837-1; range 0-25 bar,ss 304,0-25 bar,ss,Eastern Cables,EAS-353-14,NOS,True,1,LOWERCASE_TEXT
ONGC,ONGC-463284,FLAT WASHER M8,Fasteners,Washer,IS 2016; M8; Zinc Plated,Carbon Steel,M8,,,Zinc Plated,NOS,Larsen Engineering,LAR-374-82,Mumbai Offshore,Inactive,24366,2025-01-14,flat washer m8,is 2016; m8; zinc plated,carbon steel,m8,zinc plated,Larsen Engineering,LAR-374-82,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-515653,GLOBE VALVE 4 in API 623,Valves,Globe Valve,API 623; 4 in; ASTM A216 WCB,ASTM A216 WCB,4 in,,,Painted,NOS,Larsen Engineering,LAR-298-12,Visakh Refinery,Active,16388,2026-04-13,globe valve 4 in api 623,api 623; 4 in; astm a216 wcb,astm a216 wcb,4 in,painted,Larsen Engineering,LAR-298-12,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-895225,SEAMLESS STEEL PIPE 3 in API 5L,Pipes & Fittings,Pipe,API 5L; 3 in; ASTM A106 Gr.B,ASTM A106 Gr.B,3 in,3000 mm,,Black,MTR,Metro Pumps & Valves,MET-723-80,Vishakha Terminal,Active,15622,2025-02-06,seamless steel pipe 3 in api 5l,api 5l; 3 in; astm a106 gr.b,astm a106 gr.b,3 in,black,Metro Pumps & Valves,MET-723-80,MTR,True,1,LOWERCASE_TEXT
ONGC,ONGC-322544,HEX BOLT M10 X 50 GALV,Fasteners,Bolt,IS 1363; M10 x 50 mm; Galvanized,Carbon Steel,M10,50 mm,10 mm,Galvanized,NOS,Bharat Industrial Works,BHA-906-54,Mehsana Asset,Active,11920,2024-12-27,hexagonal bolt m10 x 50 galvanized,is 1363; m10 x 50 mm; galvanized,carbon steel,m10,galvanized,Bharat Industrial Works,BHA-906-54,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
ONGC,ONGC-754378,XLPE CABLE 35 sq mm,Electrical,Cable,IS 7098; 35 sq mm; 500 m,XLPE Aluminium,35 sq mm,500 mm,,PVC,MTR,Bharat Industrial Works,BHA-474-48,Mehsana Asset,Blocked,417,2024-06-19,xlpe cable 35 sq mm,is 7098; 35 sq mm; 500 m,xlpe aluminium,35 sq mm,pvc,Bharat Industrial Works,BHA-474-48,MTR,True,1,LOWERCASE_TEXT
ONGC,ONGC-941891,DEEP GROOVE BEARING 6203,Bearings,Ball Bearing,ISO 15; Bearing 6203,Chrome Steel,6203,,,,NOS,Hindustan Mechanical,HIN-310-59,Ahmedabad Asset,Active,16688,2024-12-12,deep groove bearing 6203,iso 15; bearing 6203,chrome steel,6203,,Hindustan Mechanical,HIN-310-59,NOS,True,1,LOWERCASE_TEXT
ONGC,ONGC-223469,SEAMLESS STEEL PIPE 1 in ASTM A106 Gr.B,Pipes & Fittings,Pipe,API 5L; 1 in; ASTM A106 Gr.B,ASTM A106 Gr.B,1 in,3000 mm,,Bare,MTR,Eastern Cables,EAS-801-10,Mumbai Offshore,Active,11712,2025-01-23,seamless steel pipe 1 in astm a106 gr.b,api 5l; 1 in; astm a106 gr.b,astm a106 gr.b,1 in,bare,Eastern Cables,EAS-801-10,MTR,True,1,LOWERCASE_TEXT
IOCL,IOCL-417237,PRESSURE INDICATOR 0-25 bar,Instrumentation,Pressure Gauge,EN 837-1; Range 0-25 bar,SS 304,0-25 bar,,,SS,NOS,Eastern Cables,EAS-288-67,Paradip Refinery,Active,9107,2025-07-14,pressure indicator 0-25 bar,en 837-1; range 0-25 bar,ss 304,0-25 bar,ss,Eastern Cables,EAS-288-67,NOS,True,1,LOWERCASE_TEXT
ONGC,ONGC-725126,50 sq mm SQ MM POWER CABLE,Electrical,Cable,IS 7098; 50 sq mm; 100 m,XLPE Aluminium,50 sq mm,100 mm,,PVC,MTR,Precision Fasteners,PRE-872-34,Mehsana Asset,Active,17185,2025-08-17,50 sq mm sq mm power cable,is 7098; 50 sq mm; 100 m,xlpe aluminium,50 sq mm,pvc,Precision Fasteners,PRE-872-34,MTR,True,1,LOWERCASE_TEXT
HPCL,HPCL-246636,RTD PT100 4-wire 150 MM,Instrumentation,Temperature Sensor,IEC 60751; 4-wire; 150 mm,Pt100,4-wire,150 mm,6 mm,SS,NOS,Hindustan Mechanical,HIN-981-78,Vishakha Terminal,Active,12999,2025-03-08,rtd pt100 4-wire 150 mm,iec 60751; 4-wire; 150 mm,pt100,4-wire,ss,Hindustan Mechanical,HIN-981-78,NOS,True,1,LOWERCASE_TEXT
IOCL,IOCL-593765,RTD SENSOR 4-wire,Instrumentation,Temperature Sensor,IEC 60751; 4-wire; 300 mm,Pt100,4-wire,300 mm,6 mm,SS,NOS,Apex Industrial Systems,APE-514-33,Paradip Refinery,Active,6237,2025-09-25,rtd sensor 4-wire,iec 60751; 4-wire; 300 mm,pt100,4-wire,ss,Apex Industrial Systems,APE-514-33,NOS,True,1,LOWERCASE_TEXT
CPCL,CPCL-610503,SAFETY VALVE 4 in,Safety,Safety Valve,API 526; 4 in; SS 316,SS 316,4 in,,,SS,NOS,Eastern Cables,EAS-146-99,Manali Terminal,Active,23890,2026-05-22,safety valve 4 in,api 526; 4 in; ss 316,ss 316,4 in,ss,Eastern Cables,EAS-146-99,NOS,True,1,LOWERCASE_TEXT
CPCL,CPCL-335370,BEARING NO 6204,Bearings,Ball Bearing,ISO 15; Bearing 6204,Chrome Steel,6204,,,,NOS,National Bearing Works,NAT-710-21,Manali Terminal,Active,14594,2026-05-29,bearing number 6204,iso 15; bearing 6204,chrome steel,6204,,National Bearing Works,NAT-710-21,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
CPCL,CPCL-719923,10 sq mm SQ MM POWER CABLE,Electrical,Cable,IS 7098; 10 sq mm; 1000 m,XLPE Copper,10 sq mm,1000 mm,,PVC,MTR,Precision Fasteners,PRE-141-78,Chennai Refinery,Active,13865,2026-09-02,10 sq mm sq mm power cable,is 7098; 10 sq mm; 1000 m,xlpe copper,10 sq mm,pvc,Precision Fasteners,PRE-141-78,MTR,True,1,LOWERCASE_TEXT
