Material_Code,CPSE,Material_Description,Normalized_Description,Material_Category,Material_Type,Specification,Material_Grade,Size,Length,Diameter,Coating,Unit,EX_material_family,EX_material_type,EX_material_subtype,EX_material,EX_material_grade,EX_size,EX_nominal_size,EX_length,EX_width,EX_height,EX_diameter,EX_thickness,EX_pressure_class,EX_schedule,EX_rating,EX_standard,EX_specification,EX_coating,EX_connection_type,EX_end_type,EX_construction,EX_orientation,EX_bearing_number,EX_manufacturer,EX_manufacturer_part_no,EX_unit,extraction_attribute_count,extraction_has_conflict,extraction_conflicts_detail,extraction_rules_applied,extraction_sources_used
NMDC-410123,NMDC,"BV, ASTM A351 CF8M, SIZE 1/2 in 150#","bv, astm a351 cf8m, size 1/2 in 150#",Valves,Ball Valve,API 602,ASTM A351 CF8M,1/2 in,,1/2 in,,NOS,valve,ball valve,,,ASTM A351 CF8M,1/2 in,,,,,1/2 in,,,,,API 602,API 602,,,,,,,Fouress,FOU-BV-1-2in-38,NOS,10,True,material_grade: 'ASTM A351 CF8M' vs 'ASTM A351',DIAMETER_FROM_FIELD; FAMILY_VALVE; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_FRACTION_INCH; STANDARD_FROM_SPECIFICATION; TYPE_BALL_VALVE; UNIT_FROM_FIELD,description; specification; structured_field
ONGC-100127,ONGC,"BV, ASTM A216 WCB, SIZE 1/2 in 300#","bv, astm a216 wcb, size 1/2 in 300#",Valves,Ball Valve,API 602,ASTM A216 WCB,1/2 in,,1/2 in,,NOS,valve,ball valve,,,ASTM A216 WCB,1/2 in,,,,,1/2 in,,,,,API 602,API 602,,,,,,,Fouress,FOU-BV-1-2in-52,NOS,10,True,material_grade: 'ASTM A216 WCB' vs 'WCB',DIAMETER_FROM_FIELD; FAMILY_VALVE; GRADE_A105; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_FRACTION_INCH; STANDARD_FROM_SPECIFICATION; TYPE_BALL_VALVE; UNIT_FROM_FIELD,description; specification; structured_field
ONGC-100128,ONGC,STORES ITEM PRESSURE GAUGE 150# Brass 4-20 mA,stores item pressure gauge 150# brass 4-20 ma,Instrumentation,Pressure Gauge,ASME B40.100,Brass,4-20 mA,,,,NOS,instrumentation,pressure gauge,,,Brass,4-20 mA,,,,,,,,,,ASME B40.100,ASME B40.100,,,,,,,Yokogawa,YOK-PG-4-20mA-15,NOS,9,False,,FAMILY_INSTRUMENTATION; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; TYPE_FROM_MATERIAL_TYPE; UNIT_FROM_FIELD,description; specification; structured_field
NTPC-200120,NTPC,Pressure Gauge 4-20 mA Brass 600#,pressure gauge 4-20 ma brass 600#,Instrumentation,Pressure Gauge,ASME B40.100,Brass,4-20 mA,,,,NOS,instrumentation,pressure gauge,,,Brass,4-20 mA,,,,,,,,,,ASME B40.100,ASME B40.100,,,,,,,Yokogawa,YOK-PG-4-20mA-47,NOS,9,False,,FAMILY_INSTRUMENTATION; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; TYPE_FROM_MATERIAL_TYPE; UNIT_FROM_FIELD,description; specification; structured_field
IOCL-110113,IOCL,"FLOW METER, SS316, SIZE 4-20 mA 300#","flow meter, ss316, size 4-20 ma 300#",Instrumentation,Flow Meter,ASME B40.100,SS316,4-20 mA,,,,NOS,instrumentation,,,stainless steel,SS316,4-20 mA,,,,,,,,,,ASME B40.100,ASME B40.100,,,,,,,Yokogawa,YOK-FM-4-20mA-86,NOS,9,True,material_grade: 'SS316' vs 'SS 316',FAMILY_INSTRUMENTATION; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field
NMDC-410124,NMDC,Flow Meter 150# SS304 4-20 mA,flow meter 150# ss304 4-20 ma,Instrumentation,Flow Meter,ASME B40.100,SS304,4-20 mA,,,,NOS,instrumentation,,,stainless steel,SS304,4-20 mA,,,,,,,,,,ASME B40.100,ASME B40.100,,,,,,,Yokogawa,YOK-FM-4-20mA-05,NOS,9,True,material_grade: 'SS304' vs 'SS 304',FAMILY_INSTRUMENTATION; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field
HPCL-120131,HPCL,"Spiral Wound Gasket, NBR, SIZE 2 in 300#","spiral wound gasket, nbr, size 2 in 300#",Seals,Spiral Wound Gasket,ASME B16.20,NBR,2 in,,2 in,,KG,seal/gasket,spiral wound gasket,,,NBR,2 in,,,,,2 in,,,,,ASME B16.20,ASME B16.20,,,,,,,Flowserve,FLO-SWG-2in-99,KG,10,False,,DIAMETER_FROM_FIELD; FAMILY_SEAL; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_INCH; STANDARD_FROM_SPECIFICATION; TYPE_SPIRAL_GASKET; UNIT_FROM_FIELD,description; specification; structured_field
BHEL-500123,BHEL,"SPIRAL WOUND GASKET, NBR, SIZE 2 in 600#","spiral wound gasket, nbr, size 2 in 600#",Seals,Spiral Wound Gasket,ASME B16.20,NBR,2 in,,2 in,,KG,seal/gasket,spiral wound gasket,,,NBR,2 in,,,,,2 in,,,,,ASME B16.20,ASME B16.20,,,,,,,Flowserve,FLO-SWG-2in-71,KG,10,False,,DIAMETER_FROM_FIELD; FAMILY_SEAL; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_INCH; STANDARD_FROM_SPECIFICATION; TYPE_SPIRAL_GASKET; UNIT_FROM_FIELD,description; specification; structured_field
SAIL-300134,SAIL,Anchor Bolt 150# Grade 8.8 M12 x 50,anchor bolt 150# grade 8.8 m12 x 50,Fasteners,Anchor Bolt,DIN 931,Grade 8.8,M12 x 50,50 mm,,,NOS,fastener,bolt,,,Grade 8.8,M12 x 50,,50 mm,,,,,,,,,DIN 931,,,,,,,Sundram Fasteners,SUNFAS-AB-M12x50-70,NOS,9,True,size: 'M12 x 50' vs 'M12',FAMILY_FASTENER; GRADE_FROM_STRUCTURED_FIELD; LENGTH_FROM_FIELD; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; TYPE_FROM_MATERIAL_TYPE; UNIT_FROM_FIELD,description; structured_field
NTPC-200121,NTPC,SPARE-M12 x 50 Anchor Bolt - Grade 10.9 300#,spare-m12 x 50 anchor bolt - grade 10.9 300#,Fasteners,Anchor Bolt,DIN 931,Grade 10.9,M12 x 50,50 mm,,,NOS,fastener,bolt,,,Grade 10.9,M12 x 50,,50 mm,,,,,,,,,DIN 931,,,,,,,Sundram Fasteners,SUNFAS-AB-M12x50-38,NOS,9,True,size: 'M12 x 50' vs 'M12',FAMILY_FASTENER; GRADE_FROM_STRUCTURED_FIELD; LENGTH_FROM_FIELD; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; TYPE_FROM_MATERIAL_TYPE; UNIT_FROM_FIELD,description; structured_field
NMDC-410125,NMDC,IND.VERTICAL TURBINE PUMP 150# Cast Iron 2 in x 1.5 in,ind.vertical turbine pump 150# cast iron 2 in x 1.5 in,Pumps,Vertical Turbine Pump,IS 1520,Cast Iron,2 in x 1.5 in,,,,SET,pump,,,,Cast Iron,2 in x 1.5 in,,,,,,,,,,IS 1520,IS 1520,,,,cast,vertical,,KSB,KSB-VTP-2inx1.5in-83,SET,10,True,size: '2 in x 1.5 in' vs '2 in',CONSTRUCTION_CAST; FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; ORIENTATION_VERTICAL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field
CIL-400123,Coal India,Vertical Turbine Pump 300# Cast Iron 2 in x 1.5 in,vertical turbine pump 300# cast iron 2 in x 1.5 in,Pumps,Vertical Turbine Pump,IS 1520,Cast Iron,2 in x 1.5 in,,,,SET,pump,,,,Cast Iron,2 in x 1.5 in,,,,,,,,,,IS 1520,IS 1520,,,,cast,vertical,,KSB,KSB-VTP-2inx1.5in-27,SET,10,True,size: '2 in x 1.5 in' vs '2 in',CONSTRUCTION_CAST; FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; ORIENTATION_VERTICAL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field
BHEL-500124,BHEL,Gear Pump 3 in x 2 in Cast Iron 150#,gear pump 3 in x 2 in cast iron 150#,Pumps,Gear Pump,ISO 2858,Cast Iron,3 in x 2 in,,3 in x 2 in,,SET,pump,,,,Cast Iron,3 in x 2 in,,,,,3 in x 2 in,,,,,ISO 2858,ISO 2858,,,,cast,,,Mather+Platt,MAT-GP-3inx2in-15,SET,10,True,size: '3 in x 2 in' vs '3 in',CONSTRUCTION_CAST; DIAMETER_FROM_FIELD; FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field
NMDC-410126,NMDC,SPARE-3 in x 2 in GEAR PUMP - Cast Iron 300#,spare-3 in x 2 in gear pump - cast iron 300#,Pumps,Gear Pump,ISO 2858,Cast Iron,3 in x 2 in,,3 in x 2 in,,SET,pump,,,,Cast Iron,3 in x 2 in,,,,,3 in x 2 in,,,,,ISO 2858,ISO 2858,,,,cast,,,Mather+Platt,MAT-GP-3inx2in-77,SET,10,True,size: '3 in x 2 in' vs '2 in',CONSTRUCTION_CAST; DIAMETER_FROM_FIELD; FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field
CIL-400124,Coal India,Flow Meter 0-100 bar SS316 600#,flow meter 0-100 bar ss316 600#,Instrumentation,Flow Meter,ISA 75.01,SS316,0-100 bar,,,,NOS,instrumentation,,,stainless steel,SS316,0-100 bar,,,,,,,,,,,ISA 75.01,,,,,,,Honeywell,HON-FM-0-100bar-86,NOS,8,True,material_grade: 'SS316' vs 'SS 316',FAMILY_INSTRUMENTATION; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; PART_NO_FROM_FIELD; SIZE_PRESSURE_RANGE; UNIT_FROM_FIELD,description; structured_field
NTPC-200122,NTPC,STORES ITEM FLOW METER 0-100 bar SS304 150#,stores item flow meter 0-100 bar ss304 150#,Instrumentation,Flow Meter,ISA 75.01,SS304,0-100 bar,,,,NOS,instrumentation,,,stainless steel,SS304,0-100 bar,,,,,,,,,,,ISA 75.01,,,,,,,Honeywell,HON-FM-0-100bar-98,NOS,8,True,material_grade: 'SS304' vs 'SS 304',FAMILY_INSTRUMENTATION; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; PART_NO_FROM_FIELD; SIZE_PRESSURE_RANGE; UNIT_FROM_FIELD,description; structured_field
ONGC-100129,ONGC,SPARE-Level Transmitter 150# SS316 4-20 mA,spare-level transmitter 150# ss316 4-20 ma,Instrumentation,Level Transmitter,ASME B40.100,SS316,4-20 mA,,,,NOS,instrumentation,,,stainless steel,SS316,4-20 mA,,,,,,,,,,ASME B40.100,ASME B40.100,,,,,,,Yokogawa,YOK-LT-4-20mA-04,NOS,9,True,material_grade: 'SS316' vs 'SS 316',FAMILY_INSTRUMENTATION; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field
BHEL-500125,BHEL,"LEVEL TRANSMITTER, SS304, SIZE 4-20 mA 600#","level transmitter, ss304, size 4-20 ma 600#",Instrumentation,Level Transmitter,ASME B40.100,SS304,4-20 mA,,,,NOS,instrumentation,,,stainless steel,SS304,4-20 mA,,,,,,,,,,ASME B40.100,ASME B40.100,,,,,,,Yokogawa,YOK-LT-4-20mA-27,NOS,9,True,material_grade: 'SS304' vs 'SS 304',FAMILY_INSTRUMENTATION; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field
SAIL-300135,SAIL,3C x 95 sq mm Distribution Transformer - XLPE Insulated 300#,3c x 95 sq mm distribution transformer - xlpe insulated 300#,Electrical,Distribution Transformer,IS 7098,XLPE Insulated,3C x 95 sq mm,,,,MTR,electrical,,,xlpe,XLPE Insulated,3C x 95 sq mm,,,,,,,,,,IS 7098,IS 7098,,,,,,,Crompton Greaves,CROGRE-DT-3Cx95sqmm-45,MTR,9,True,size: '3C x 95 sq mm' vs '95 sq mm',FAMILY_ELECTRICAL; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_XLPE; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field
CIL-400125,Coal India,IND.3C x 95 sq mm DISTRIBUTION TRANSFORMER - XLPE Insulated 600#,ind.3c x 95 sq mm distribution transformer - xlpe insulated 600#,Electrical,Distribution Transformer,IS 7098,XLPE Insulated,3C x 95 sq mm,,,,MTR,electrical,,,xlpe,XLPE Insulated,3C x 95 sq mm,,,,,,,,,,IS 7098,IS 7098,,,,,,,Crompton Greaves,CROGRE-DT-3Cx95sqmm-51,MTR,9,True,size: '3C x 95 sq mm' vs '95 sq mm',FAMILY_ELECTRICAL; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_XLPE; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field
SAIL-300136,SAIL,"STORES ITEM Induction Motor, Aluminium, SIZE 3C x 95 sq mm 150#","stores item induction motor, aluminium, size 3c x 95 sq mm 150#",Electrical,Induction Motor,IEC 60502,Aluminium,3C x 95 sq mm,1000 m,,,MTR,electrical,,,,Aluminium,3C x 95 sq mm,,1000 m,,,,,,,,IEC 60502,IEC 60502,,,,,,,BHEL,BHE-IM-3Cx95sqmm-32,MTR,9,True,size: '3C x 95 sq mm' vs '95 sq mm',FAMILY_ELECTRICAL; GRADE_FROM_STRUCTURED_FIELD; LENGTH_FROM_FIELD; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,specification; structured_field
ONGC-100130,ONGC,SPARE-3C x 95 sq mm INDUCTION MOTOR - Aluminium 300#,spare-3c x 95 sq mm induction motor - aluminium 300#,Electrical,Induction Motor,IEC 60502,Aluminium,3C x 95 sq mm,1000 m,,,MTR,electrical,,,,Aluminium,3C x 95 sq mm,,1000 m,,,,,,,,IEC 60502,IEC 60502,,,,,,,BHEL,BHE-IM-3Cx95sqmm-03,MTR,9,True,size: '3C x 95 sq mm' vs '95 sq mm',FAMILY_ELECTRICAL; GRADE_FROM_STRUCTURED_FIELD; LENGTH_FROM_FIELD; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,specification; structured_field
HPCL-120132,HPCL,"FLANGE, SS316L, SIZE DN 80 600#","flange, ss316l, size dn 80 600#",Pipes & Fittings,Flange,ASME B16.5,SS316L,DN 80,6 m,DN 80,Galvanized,MTR,pipe/fitting,flange,,stainless steel,SS316L,DN 80,,6 m,,,DN 80,,,,,ASME B16.5,ASME B16.5,galvanized,,,,,,Tata Steel,TATSTE-F-DN80-75,MTR,13,True,size: 'DN 80' vs 'DN80'; material_grade: 'SS316L' vs 'SS 316L',COATING_FROM_STRUCTURED_FIELD; DIAMETER_FROM_FIELD; FAMILY_PIPE; GRADE_FROM_STRUCTURED_FIELD; LENGTH_FROM_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; TYPE_FROM_MATERIAL_TYPE; UNIT_FROM_FIELD,description; specification; structured_field
NMDC-410127,NMDC,SPARE-Flange 300# SS316L DN 80,spare-flange 300# ss316l dn 80,Pipes & Fittings,Flange,ASME B16.5,SS316L,DN 80,6 m,DN 80,Galvanized,MTR,pipe/fitting,flange,,stainless steel,SS316L,DN 80,,6 m,,,DN 80,,,,,ASME B16.5,ASME B16.5,galvanized,,,,,,Tata Steel,TATSTE-F-DN80-59,MTR,13,True,size: 'DN 80' vs 'DN80'; material_grade: 'SS316L' vs 'SS 316L',COATING_FROM_STRUCTURED_FIELD; DIAMETER_FROM_FIELD; FAMILY_PIPE; GRADE_FROM_STRUCTURED_FIELD; LENGTH_FROM_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; TYPE_FROM_MATERIAL_TYPE; UNIT_FROM_FIELD,description; specification; structured_field
CIL-400126,Coal India,M16 x 65 Hex Bolt - Grade 8.8 600#,m16 x 65 hexagonal bolt - grade 8.8 600#,Fasteners,Hex Bolt,ASTM A193,Grade 8.8,M16 x 65,65 mm,,,NOS,fastener,bolt,hex,,Grade 8.8,M16 x 65,,65 mm,,,,,,,,ASTM A193,ASTM A193,,,,,,,Unbrako,UNB-HB-M16x65-51,NOS,11,True,size: 'M16 x 65' vs 'M16',FAMILY_FASTENER; GRADE_FROM_STRUCTURED_FIELD; LENGTH_FROM_FIELD; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; SUBTYPE_HEX; TYPE_FROM_MATERIAL_TYPE; UNIT_FROM_FIELD,description; specification; structured_field
NTPC-200123,NTPC,"Hex Bolt, Grade 10.9, SIZE M16 x 65 150#","hexagonal bolt, grade 10.9, size m16 x 65 150#",Fasteners,Hex Bolt,ASTM A193,Grade 10.9,M16 x 65,65 mm,,,NOS,fastener,bolt,hex,,Grade 10.9,M16 x 65,,65 mm,,,,,,,,ASTM A193,ASTM A193,,,,,,,Unbrako,UNB-HB-M16x65-92,NOS,11,True,size: 'M16 x 65' vs 'M16',FAMILY_FASTENER; GRADE_FROM_STRUCTURED_FIELD; LENGTH_FROM_FIELD; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; SUBTYPE_HEX; TYPE_FROM_MATERIAL_TYPE; UNIT_FROM_FIELD,description; specification; structured_field
NMDC-410128,NMDC,IND.M16 x 65 Hex Bolt - Grade 8.8 300#,ind.m16 x 65 hexagonal bolt - grade 8.8 300#,Fasteners,Hex Bolt,ASME B18.2.1,Grade 8.8,M16 x 65,65 mm,,,KG,fastener,bolt,hex,,Grade 8.8,M16 x 65,,65 mm,,,,,,,,ASME B18.2,ASME B18.2.1,,,,,,,Precision Fasteners,PREFAS-HB-M16x65-24,KG,11,True,size: 'M16 x 65' vs 'M16',FAMILY_FASTENER; GRADE_FROM_STRUCTURED_FIELD; LENGTH_FROM_FIELD; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; SUBTYPE_HEX; TYPE_FROM_MATERIAL_TYPE; UNIT_FROM_FIELD,description; specification; structured_field
HPCL-120133,HPCL,SPARE-Hex Bolt M16 x 65 Grade 10.9 600#,spare-hexagonal bolt m16 x 65 grade 10.9 600#,Fasteners,Hex Bolt,ASME B18.2.1,Grade 10.9,M16 x 65,65 mm,,,KG,fastener,bolt,hex,,Grade 10.9,M16 x 65,,65 mm,,,,,,,,ASME B18.2,ASME B18.2.1,,,,,,,Precision Fasteners,PREFAS-HB-M16x65-83,KG,11,True,size: 'M16 x 65' vs 'M16',FAMILY_FASTENER; GRADE_FROM_STRUCTURED_FIELD; LENGTH_FROM_FIELD; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; SUBTYPE_HEX; TYPE_FROM_MATERIAL_TYPE; UNIT_FROM_FIELD,description; specification; structured_field
NMDC-410129,NMDC,"Hex Bolt, Grade 8.8, SIZE M16 x 65 150#","hexagonal bolt, grade 8.8, size m16 x 65 150#",Fasteners,Hex Bolt,IS 1367,Grade 8.8,M16 x 65,65 mm,,Zinc Plated,NOS,fastener,bolt,hex,,Grade 8.8,M16 x 65,,65 mm,,,,,,,,IS 1367,IS 1367,zinc plated,,,,,,GKW,GKW-HB-M16x65-24,NOS,12,True,size: 'M16 x 65' vs 'M16',COATING_FROM_STRUCTURED_FIELD; FAMILY_FASTENER; GRADE_FROM_STRUCTURED_FIELD; LENGTH_FROM_FIELD; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; SUBTYPE_HEX; TYPE_FROM_MATERIAL_TYPE; UNIT_FROM_FIELD,description; specification; structured_field
BHEL-500126,BHEL,"STORES ITEM Hex Bolt, Grade 10.9, SIZE M16 x 65 600#","stores item hexagonal bolt, grade 10.9, size m16 x 65 600#",Fasteners,Hex Bolt,IS 1367,Grade 10.9,M16 x 65,65 mm,,Zinc Plated,NOS,fastener,bolt,hex,,Grade 10.9,M16 x 65,,65 mm,,,,,,,,IS 1367,IS 1367,zinc plated,,,,,,GKW,GKW-HB-M16x65-69,NOS,12,True,size: 'M16 x 65' vs 'M16',COATING_FROM_STRUCTURED_FIELD; FAMILY_FASTENER; GRADE_FROM_STRUCTURED_FIELD; LENGTH_FROM_FIELD; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; SUBTYPE_HEX; TYPE_FROM_MATERIAL_TYPE; UNIT_FROM_FIELD,description; specification; structured_field
CIL-400127,Coal India,SPARE-Socket Head Screw 150# SS304 M24 x 100,spare-socket head screw 150# ss304 m24 x 100,Fasteners,Socket Head Screw,ASTM A193,SS304,M24 x 100,100 mm,,,NOS,fastener,,,stainless steel,SS304,M24 x 100,,100 mm,,,,,,,,ASTM A193,ASTM A193,,,,,,,Unbrako,UNB-SHS-M24x100-63,NOS,10,True,size: 'M24 x 100' vs 'M24'; material_grade: 'SS304' vs 'SS 304',FAMILY_FASTENER; GRADE_FROM_STRUCTURED_FIELD; LENGTH_FROM_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field
ONGC-100131,ONGC,M24 x 100 SOCKET HEAD SCREW - SS316 300#,m24 x 100 socket head screw - ss316 300#,Fasteners,Socket Head Screw,ASTM A193,SS316,M24 x 100,100 mm,,,NOS,fastener,,,stainless steel,SS316,M24 x 100,,100 mm,,,,,,,,ASTM A193,ASTM A193,,,,,,,Unbrako,UNB-SHS-M24x100-58,NOS,10,True,size: 'M24 x 100' vs 'M24'; material_grade: 'SS316' vs 'SS 316',FAMILY_FASTENER; GRADE_FROM_STRUCTURED_FIELD; LENGTH_FROM_FIELD; MANUFACTURER_FROM_FIELD; MATERIAL_STAINLESS_STEEL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field
ONGC-100132,ONGC,RUBBER GASKET 2 in NBR 150#,rubber gasket 2 in nbr 150#,Seals,Rubber Gasket,ASME B16.20,NBR,2 in,,,,NOS,seal/gasket,,,,NBR,2 in,,,,,,,,,,ASME B16.20,ASME B16.20,rubber,,,,,,Sealol,SEA-RG-2in-76,NOS,9,False,,COATING_RUBBER_LINED; FAMILY_SEAL; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_INCH; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field
NMDC-410130,NMDC,IND.Rubber Gasket 600# NBR 2 in,ind.rubber gasket 600# nbr 2 in,Seals,Rubber Gasket,ASME B16.20,NBR,2 in,,,,NOS,seal/gasket,,,,NBR,2 in,,,,,,,,,,ASME B16.20,ASME B16.20,rubber,,,,,,Sealol,SEA-RG-2in-23,NOS,9,False,,COATING_RUBBER_LINED; FAMILY_SEAL; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; PART_NO_FROM_FIELD; SIZE_INCH; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field
BHEL-500127,BHEL,STORES ITEM 2 in x 1.5 in VERTICAL TURBINE PUMP - Cast Iron 150#,stores item 2 in x 1.5 in vertical turbine pump - cast iron 150#,Pumps,Vertical Turbine Pump,IS 1520,Cast Iron,2 in x 1.5 in,,,,SET,pump,,,,Cast Iron,2 in x 1.5 in,,,,,,,,,,IS 1520,IS 1520,,,,cast,vertical,,Kirloskar,KIR-VTP-2inx1.5in-23,SET,10,True,size: '2 in x 1.5 in' vs '2 in',CONSTRUCTION_CAST; FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; ORIENTATION_VERTICAL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field
ONGC-100133,ONGC,VERTICAL TURBINE PUMP 2 in x 1.5 in Cast Iron 300#,vertical turbine pump 2 in x 1.5 in cast iron 300#,Pumps,Vertical Turbine Pump,IS 1520,Cast Iron,2 in x 1.5 in,,,,SET,pump,,,,Cast Iron,2 in x 1.5 in,,,,,,,,,,IS 1520,IS 1520,,,,cast,vertical,,Kirloskar,KIR-VTP-2inx1.5in-53,SET,10,True,size: '2 in x 1.5 in' vs '2 in',CONSTRUCTION_CAST; FAMILY_PUMP; GRADE_FROM_STRUCTURED_FIELD; MANUFACTURER_FROM_FIELD; ORIENTATION_VERTICAL; PART_NO_FROM_FIELD; SIZE_FROM_STRUCTURED_FIELD; STANDARD_FROM_SPECIFICATION; UNIT_FROM_FIELD,description; specification; structured_field
