CPSE,Sector,Material_Code,Material_Description,Material_Category,Material_Type,Specification,Material_Grade,Size,Length,Diameter,Coating,Unit,Manufacturer,Manufacturer_Part_No,Plant,Material_Status,Annual_Consumption,Last_Purchase_Date,Unit_Price_INR
BHEL,Heavy Engineering,BHEL-500118,IND.6208 Thrust Bearing - AISI 52100 600#,Bearings,Thrust Bearing,DIN 625,AISI 52100,6208,,,,NOS,Timken,TIM-TB-6208-23,Bhopal Complex,Active,13735,2024-07-11,8659.57
NMDC,Mining,NMDC-410116,SPARE-DN 50 Welded Pipe - SS316L 600#,Pipes & Fittings,Welded Pipe,API 5L,SS316L,DN 50,12 m,DN 50,Epoxy Coated,MTR,ISMT,ISM-WP-DN50-05,Bailadila Iron Ore Mine,Obsolete,7158,2024-12-21,17117.21
NTPC,Power,NTPC-200115,IND.WELDED PIPE 150# SS316L DN 50,Pipes & Fittings,Welded Pipe,API 5L,SS316L,DN 50,12 m,DN 50,Epoxy Coated,MTR,ISMT,ISM-WP-DN50-34,Ramagundam STPS,Obsolete,8521,2025-11-05,16543.78
Coal India,Mining,CIL-400113,STORES ITEM Distribution Transformer 150# XLPE Insulated 3C x 95 sq mm,Electrical,Distribution Transformer,IS 2026,XLPE Insulated,3C x 95 sq mm,1000 m,,,MTR,Siemens,SIE-DT-3Cx95sqmm-43,Jharia Coalfields,Active,7698,2025-07-13,28337.1
BHEL,Heavy Engineering,BHEL-500119,Distribution Transformer 3C x 95 sq mm XLPE Insulated 600#,Electrical,Distribution Transformer,IS 2026,XLPE Insulated,3C x 95 sq mm,1000 m,,,MTR,Siemens,SIE-DT-3Cx95sqmm-32,Ranipet Complex,Active,6622,2024-11-03,31817.57
IOCL,Oil & Gas,IOCL-110107,"STORES ITEM LEVEL TRANSMITTER, Polycarbonate, SIZE 0-500 Deg C 300#",Instrumentation,Level Transmitter,ISA 75.01,Polycarbonate,0-500 Deg C,,,,NOS,Honeywell,HON-LT-0-500DegC-26,Mathura Refinery,Obsolete,5117,2024-05-24,99670.29
HPCL,Oil & Gas,HPCL-120124,"IND.Level Transmitter, Polycarbonate, SIZE 0-500 Deg C 600#",Instrumentation,Level Transmitter,ISA 75.01,Polycarbonate,0-500 Deg C,,,,NOS,Honeywell,HON-LT-0-500DegC-26,Mumbai Refinery,Active,14103,2024-07-27,83280.88
SAIL,Steel,SAIL-300127,STORES ITEM XLPE CABLE 150# Copper 1C x 300 sq mm,Electrical,XLPE Cable,IS 2026,Copper,1C x 300 sq mm,100 m,,,MTR,Havells,HAV-XC-1Cx300sqmm-60,Bokaro Steel Plant,Active,2237,2025-02-13,52052.05
HPCL,Oil & Gas,HPCL-120125,XLPE Cable 300# Copper 1C x 300 sq mm,Electrical,XLPE Cable,IS 2026,Copper,1C x 300 sq mm,100 m,,,MTR,Havells,HAV-XC-1Cx300sqmm-95,Bhatinda Refinery,Slow-Moving,6097,2025-01-05,46609.49
IOCL,Oil & Gas,IOCL-110108,"IND.ROLLER BRG, Stainless Steel, SIZE 6304 300#",Bearings,Roller Bearing,ISO 15,Stainless Steel,6304,,,,NOS,SKF,SKF-RB-6304-55,Gujarat Refinery,Active,7925,2024-02-05,21836.8
SAIL,Steel,SAIL-300128,Roller Bearing 600# Stainless Steel 6304,Bearings,Roller Bearing,ISO 15,Stainless Steel,6304,,,,NOS,SKF,SKF-RB-6304-60,Bhilai Steel Plant,Slow-Moving,250,2024-06-13,23170.39
SAIL,Steel,SAIL-300129,2 in Mechanical Seal - Graphite 300#,Seals,Mechanical Seal,ASME B16.20,Graphite,2 in,,2 in,,NOS,Chesterton,CHE-MS-2in-92,Bokaro Steel Plant,Obsolete,8761,2025-01-27,12775.59
NMDC,Mining,NMDC-410117,2 in MECHANICAL SEAL - Graphite 600#,Seals,Mechanical Seal,ASME B16.20,Graphite,2 in,,2 in,,NOS,Chesterton,CHE-MS-2in-94,Kirandul Complex,Active,2041,2025-05-16,11998.0
NTPC,Power,NTPC-200116,IND.Flange 300# SS316L DN 50,Pipes & Fittings,Flange,ASME B16.5,SS316L,DN 50,,DN 50,Epoxy Coated,MTR,ISMT,ISM-F-DN50-15,Korba STPS,Active,1427,2025-07-01,49154.26
SAIL,Steel,SAIL-300130,FLANGE DN 50 SS316L 600#,Pipes & Fittings,Flange,ASME B16.5,SS316L,DN 50,,DN 50,Epoxy Coated,MTR,ISMT,ISM-F-DN50-59,Durgapur Steel Plant,Active,677,2024-05-30,51611.35
Coal India,Mining,CIL-400114,STORES ITEM 3C x 95 sq mm Distribution Transformer - Aluminium 150#,Electrical,Distribution Transformer,IS 2026,Aluminium,3C x 95 sq mm,500 m,,,MTR,Crompton Greaves,CROGRE-DT-3Cx95sqmm-15,Jharia Coalfields,Active,850,2025-01-18,65176.32
NMDC,Mining,NMDC-410118,SPARE-3C x 95 sq mm Distribution Transformer - Aluminium 300#,Electrical,Distribution Transformer,IS 2026,Aluminium,3C x 95 sq mm,500 m,,,MTR,Crompton Greaves,CROGRE-DT-3Cx95sqmm-06,Kirandul Complex,Active,3443,2024-01-20,58337.33
HPCL,Oil & Gas,HPCL-120126,STORES ITEM Rubber Gasket 300# NBR 50 mm,Seals,Rubber Gasket,DIN 3760,NBR,50 mm,,50 mm,Galvanized,KG,Sealol,SEA-RG-50mm-77,Bhatinda Refinery,Active,5287,2024-12-20,11913.17
Coal India,Mining,CIL-400115,"RUBBER GASKET, NBR, SIZE 50 mm 150#",Seals,Rubber Gasket,DIN 3760,NBR,50 mm,,50 mm,Galvanized,KG,Sealol,SEA-RG-50mm-87,Korba Coalfields,Active,9410,2024-03-21,11782.81
IOCL,Oil & Gas,IOCL-110109,DISTRIBUTION TRANSFORMER 415V 100A Aluminium 600#,Electrical,Distribution Transformer,IS 13947,Aluminium,415V 100A,,,,MTR,Siemens,SIE-DT-415V100A-54,Barauni Refinery,Obsolete,6198,2025-07-04,58086.92
Coal India,Mining,CIL-400116,SPARE-415V 100A DISTRIBUTION TRANSFORMER - Aluminium 150#,Electrical,Distribution Transformer,IS 13947,Aluminium,415V 100A,,,,MTR,Siemens,SIE-DT-415V100A-15,Korba Coalfields,Active,5817,2024-08-10,58615.2
IOCL,Oil & Gas,IOCL-110110,STORES ITEM Thrust Bearing 300# AISI 52100 22208,Bearings,Thrust Bearing,ABMA 9,AISI 52100,22208,,,,NOS,Timken,TIM-TB-22208-21,Barauni Refinery,Active,5523,2025-04-20,5057.62
NTPC,Power,NTPC-200117,"THRUST BEARING, AISI 52100, SIZE 22208 600#",Bearings,Thrust Bearing,ABMA 9,AISI 52100,22208,,,,NOS,Timken,TIM-TB-22208-80,Singrauli STPS,Active,12045,2025-02-22,5188.66
SAIL,Steel,SAIL-300131,"STORES ITEM SOCKET HEAD SCREW, Grade 8.8, SIZE M16 x 65 150#",Fasteners,Socket Head Screw,ASME B18.2.1,Grade 8.8,M16 x 65,65 mm,,,KG,Precision Fasteners,PREFAS-SHS-M16x65-23,Rourkela Steel Plant,Active,14704,2024-02-01,2217.85
BHEL,Heavy Engineering,BHEL-500120,SOCKET HEAD SCREW 600# Grade 10.9 M16 x 65,Fasteners,Socket Head Screw,ASME B18.2.1,Grade 10.9,M16 x 65,65 mm,,,KG,Precision Fasteners,PREFAS-SHS-M16x65-60,Trichy Complex,Active,1194,2024-01-08,2455.81
NTPC,Power,NTPC-200118,PRESSURE GAUGE 0-100 bar Brass 150#,Instrumentation,Pressure Gauge,ISA 75.01,Brass,0-100 bar,,,,NOS,Honeywell,HON-PG-0-100bar-93,Dadri Plant,Active,2082,2024-04-16,27637.24
NMDC,Mining,NMDC-410119,"STORES ITEM PRESSURE GAUGE, Brass, SIZE 0-100 bar 300#",Instrumentation,Pressure Gauge,ISA 75.01,Brass,0-100 bar,,,,NOS,Honeywell,HON-PG-0-100bar-44,Kirandul Complex,Active,5457,2025-10-19,28061.07
NMDC,Mining,NMDC-410120,"IND.EQUAL TEE, Carbon Steel, SIZE DN 100 300#",Pipes & Fittings,Equal Tee,ASME B16.5,Carbon Steel,DN 100,12 m,150 mm,Epoxy Coated,MTR,Jindal Pipes,JINPIP-ET-DN100-73,Donimalai Iron Ore Mine,Active,5042,2025-05-01,2027.18
IOCL,Oil & Gas,IOCL-110111,"STORES ITEM EQUAL TEE, Alloy Steel, SIZE DN 100 150#",Pipes & Fittings,Equal Tee,ASME B16.5,Alloy Steel,DN 100,12 m,150 mm,Epoxy Coated,MTR,Jindal Pipes,JINPIP-ET-DN100-33,Barauni Refinery,Active,247,2024-09-22,2287.64
Coal India,Mining,CIL-400117,SPARE-Circuit Breaker 300# XLPE Insulated 1C x 300 sq mm,Electrical,Circuit Breaker,IS 13947,XLPE Insulated,1C x 300 sq mm,,,,MTR,Havells,HAV-CB-1Cx300sqmm-02,Jharia Coalfields,Active,2509,2024-10-11,72925.26
BHEL,Heavy Engineering,BHEL-500121,CIRCUIT BREAKER 1C x 300 sq mm XLPE Insulated 600#,Electrical,Circuit Breaker,IS 13947,XLPE Insulated,1C x 300 sq mm,,,,MTR,Havells,HAV-CB-1Cx300sqmm-96,Hazira Complex,Active,1669,2024-12-03,79071.07
Coal India,Mining,CIL-400118,"CHECK VALVE, WCB, SIZE 4 in 150#",Valves,Check Valve,BS 1873,WCB,4 in,,4 in,,NOS,Audco,AUD-CV-4in-23,Jharia Coalfields,Active,3163,2024-03-06,16630.27
SAIL,Steel,SAIL-300132,IND.CHECK VALVE 4 in WCB 300#,Valves,Check Valve,BS 1873,WCB,4 in,,4 in,,NOS,Audco,AUD-CV-4in-60,Bokaro Steel Plant,Active,1957,2025-03-28,16685.14
Coal India,Mining,CIL-400119,SPARE-2 in x 1.5 in VERTICAL TURBINE PUMP - Duplex Steel 600#,Pumps,Vertical Turbine Pump,ISO 2858,Duplex Steel,2 in x 1.5 in,,,,SET,Kirloskar,KIR-VTP-2inx1.5in-01,Jharia Coalfields,Active,2942,2024-12-02,133296.52
NTPC,Power,NTPC-200119,"IND.VERTICAL TURBINE PUMP, Duplex Steel, SIZE 2 in x 1.5 in 150#",Pumps,Vertical Turbine Pump,ISO 2858,Duplex Steel,2 in x 1.5 in,,,,SET,Kirloskar,KIR-VTP-2inx1.5in-65,Korba STPS,Active,5279,2025-06-05,137451.56
HPCL,Oil & Gas,HPCL-120127,"NEEDLE BEARING, Stainless Steel, SIZE 6208 150#",Bearings,Needle Bearing,ABMA 9,Stainless Steel,6208,,,,NOS,Timken,TIM-NB-6208-98,Mumbai Refinery,Active,8740,2025-04-28,22408.4
Coal India,Mining,CIL-400120,IND.6208 NEEDLE BEARING - Stainless Steel 300#,Bearings,Needle Bearing,ABMA 9,Stainless Steel,6208,,,,NOS,Timken,TIM-NB-6208-99,Korba Coalfields,Active,8511,2025-04-30,23029.86
HPCL,Oil & Gas,HPCL-120128,SPARE-100 mm O-Ring - PTFE 300#,Seals,O-Ring,ASME B16.20,PTFE,100 mm,,100 mm,,NOS,Flowserve,FLO-O-100mm-08,Visakh Refinery,Slow-Moving,369,2025-12-22,16519.0
SAIL,Steel,SAIL-300133,SPARE-O-Ring 600# PTFE 100 mm,Seals,O-Ring,ASME B16.20,PTFE,100 mm,,100 mm,,NOS,Flowserve,FLO-O-100mm-49,Bokaro Steel Plant,Slow-Moving,1800,2024-03-17,16585.02
ONGC,Oil & Gas,ONGC-100125,2 in Mechanical Seal - Graphite 300#,Seals,Mechanical Seal,DIN 3760,Graphite,2 in,,,,KG,Chesterton,CHE-MS-2in-37,Sivasagar Asset,Active,12751,2025-02-27,7713.13
Coal India,Mining,CIL-400121,"STORES ITEM MECHANICAL SEAL, Graphite, SIZE 2 in 150#",Seals,Mechanical Seal,DIN 3760,Graphite,2 in,,,,KG,Chesterton,CHE-MS-2in-32,Jharia Coalfields,Active,2351,2024-03-10,7749.78
IOCL,Oil & Gas,IOCL-110112,M20 x 80 STUD BOLT - Grade 10.9 150#,Fasteners,Stud Bolt,ASME B18.2.1,Grade 10.9,M20 x 80,80 mm,,Zinc Plated,NOS,GKW,GKW-SB-M20x80-55,Barauni Refinery,Slow-Moving,8442,2025-01-17,271.47
NMDC,Mining,NMDC-410121,Stud Bolt 600# Grade 8.8 M20 x 80,Fasteners,Stud Bolt,ASME B18.2.1,Grade 8.8,M20 x 80,80 mm,,Zinc Plated,NOS,GKW,GKW-SB-M20x80-82,Donimalai Iron Ore Mine,Obsolete,12839,2024-04-25,279.79
Coal India,Mining,CIL-400122,IND.DN 100 Centrifugal Pump - Carbon Steel 600#,Pumps,Centrifugal Pump,IS 1520,Carbon Steel,DN 100,,DN 100,,SET,KSB,KSB-CP-DN100-68,Jharia Coalfields,Active,13619,2025-02-03,142434.14
ONGC,Oil & Gas,ONGC-100126,"IND.Centrifugal Pump, Alloy Steel, SIZE DN 100 300#",Pumps,Centrifugal Pump,IS 1520,Alloy Steel,DN 100,,DN 100,,SET,KSB,KSB-CP-DN100-75,Ankleshwar Asset,Slow-Moving,11762,2025-08-13,130514.29
BHEL,Heavy Engineering,BHEL-500122,STORES ITEM Elbow 90 Deg 2 in IS 2062 300#,Pipes & Fittings,Elbow 90 Deg,ASTM A106,IS 2062,2 in,,25 mm,PTFE Lined,MTR,ISMT,ISM-E9D-2in-26,Trichy Complex,Active,3609,2024-12-29,28389.25
HPCL,Oil & Gas,HPCL-120129,"Elbow 90 Deg, IS 2062, SIZE 2 in 600#",Pipes & Fittings,Elbow 90 Deg,ASTM A106,IS 2062,2 in,,25 mm,PTFE Lined,MTR,ISMT,ISM-E9D-2in-95,Bhatinda Refinery,Active,3304,2024-07-29,23666.61
NMDC,Mining,NMDC-410122,STORES ITEM ROLLER BRG 30205 Chrome Steel 150#,Bearings,Roller Bearing,ISO 15,Chrome Steel,30205,,,,NOS,NBC Bearings,NBCBEA-RB-30205-65,Bailadila Iron Ore Mine,Obsolete,314,2024-01-08,22782.01
HPCL,Oil & Gas,HPCL-120130,SPARE-30205 Roller Bearing - Chrome Steel 600#,Bearings,Roller Bearing,ISO 15,Chrome Steel,30205,,,,NOS,NBC Bearings,NBCBEA-RB-30205-09,Visakh Refinery,Active,13323,2025-02-03,23507.81
NMDC,Mining,NMDC-410123,"BV, ASTM A351 CF8M, SIZE 1/2 in 150#",Valves,Ball Valve,API 602,ASTM A351 CF8M,1/2 in,,1/2 in,,NOS,Fouress,FOU-BV-1-2in-38,Kirandul Complex,Active,8546,2024-06-04,93158.2
ONGC,Oil & Gas,ONGC-100127,"BV, ASTM A216 WCB, SIZE 1/2 in 300#",Valves,Ball Valve,API 602,ASTM A216 WCB,1/2 in,,1/2 in,,NOS,Fouress,FOU-BV-1-2in-52,Rajahmundry Asset,Active,473,2024-12-05,86756.12
ONGC,Oil & Gas,ONGC-100128,STORES ITEM PRESSURE GAUGE 150# Brass 4-20 mA,Instrumentation,Pressure Gauge,ASME B40.100,Brass,4-20 mA,,,,NOS,Yokogawa,YOK-PG-4-20mA-15,Mumbai Offshore Complex,Active,9933,2025-10-14,74830.38
NTPC,Power,NTPC-200120,Pressure Gauge 4-20 mA Brass 600#,Instrumentation,Pressure Gauge,ASME B40.100,Brass,4-20 mA,,,,NOS,Yokogawa,YOK-PG-4-20mA-47,Korba STPS,Active,8483,2024-05-12,75418.23
IOCL,Oil & Gas,IOCL-110113,"FLOW METER, SS316, SIZE 4-20 mA 300#",Instrumentation,Flow Meter,ASME B40.100,SS316,4-20 mA,,,,NOS,Yokogawa,YOK-FM-4-20mA-86,Barauni Refinery,Active,2429,2025-08-16,29057.99
NMDC,Mining,NMDC-410124,Flow Meter 150# SS304 4-20 mA,Instrumentation,Flow Meter,ASME B40.100,SS304,4-20 mA,,,,NOS,Yokogawa,YOK-FM-4-20mA-05,Kirandul Complex,Active,7927,2025-05-10,27166.56
HPCL,Oil & Gas,HPCL-120131,"Spiral Wound Gasket, NBR, SIZE 2 in 300#",Seals,Spiral Wound Gasket,ASME B16.20,NBR,2 in,,2 in,,KG,Flowserve,FLO-SWG-2in-99,Visakh Refinery,Active,6037,2025-03-12,7695.15
BHEL,Heavy Engineering,BHEL-500123,"SPIRAL WOUND GASKET, NBR, SIZE 2 in 600#",Seals,Spiral Wound Gasket,ASME B16.20,NBR,2 in,,2 in,,KG,Flowserve,FLO-SWG-2in-71,Hazira Complex,Active,9115,2024-03-25,8472.61
SAIL,Steel,SAIL-300134,Anchor Bolt 150# Grade 8.8 M12 x 50,Fasteners,Anchor Bolt,DIN 931,Grade 8.8,M12 x 50,50 mm,,None,NOS,Sundram Fasteners,SUNFAS-AB-M12x50-70,Durgapur Steel Plant,Active,2763,2025-10-12,2746.2
NTPC,Power,NTPC-200121,SPARE-M12 x 50 Anchor Bolt - Grade 10.9 300#,Fasteners,Anchor Bolt,DIN 931,Grade 10.9,M12 x 50,50 mm,,None,NOS,Sundram Fasteners,SUNFAS-AB-M12x50-38,Dadri Plant,Active,11871,2024-11-03,2475.82
NMDC,Mining,NMDC-410125,IND.VERTICAL TURBINE PUMP 150# Cast Iron 2 in x 1.5 in,Pumps,Vertical Turbine Pump,IS 1520,Cast Iron,2 in x 1.5 in,,,None,SET,KSB,KSB-VTP-2inx1.5in-83,Bailadila Iron Ore Mine,Active,5791,2024-03-13,56527.52
Coal India,Mining,CIL-400123,Vertical Turbine Pump 300# Cast Iron 2 in x 1.5 in,Pumps,Vertical Turbine Pump,IS 1520,Cast Iron,2 in x 1.5 in,,,None,SET,KSB,KSB-VTP-2inx1.5in-27,Korba Coalfields,Active,1971,2025-06-17,60396.08
BHEL,Heavy Engineering,BHEL-500124,Gear Pump 3 in x 2 in Cast Iron 150#,Pumps,Gear Pump,ISO 2858,Cast Iron,3 in x 2 in,,3 in x 2 in,,SET,Mather+Platt,MAT-GP-3inx2in-15,Bhopal Complex,Slow-Moving,11378,2025-05-13,36983.74
NMDC,Mining,NMDC-410126,SPARE-3 in x 2 in GEAR PUMP - Cast Iron 300#,Pumps,Gear Pump,ISO 2858,Cast Iron,3 in x 2 in,,3 in x 2 in,,SET,Mather+Platt,MAT-GP-3inx2in-77,Kirandul Complex,Active,10503,2024-04-17,41651.53
Coal India,Mining,CIL-400124,Flow Meter 0-100 bar SS316 600#,Instrumentation,Flow Meter,ISA 75.01,SS316,0-100 bar,,,,NOS,Honeywell,HON-FM-0-100bar-86,Jharia Coalfields,Active,14310,2025-11-14,54171.23
NTPC,Power,NTPC-200122,STORES ITEM FLOW METER 0-100 bar SS304 150#,Instrumentation,Flow Meter,ISA 75.01,SS304,0-100 bar,,,,NOS,Honeywell,HON-FM-0-100bar-98,Singrauli STPS,Slow-Moving,11818,2024-02-10,55045.89
ONGC,Oil & Gas,ONGC-100129,SPARE-Level Transmitter 150# SS316 4-20 mA,Instrumentation,Level Transmitter,ASME B40.100,SS316,4-20 mA,,,,NOS,Yokogawa,YOK-LT-4-20mA-04,Sivasagar Asset,Active,4124,2024-10-10,85423.52
BHEL,Heavy Engineering,BHEL-500125,"LEVEL TRANSMITTER, SS304, SIZE 4-20 mA 600#",Instrumentation,Level Transmitter,ASME B40.100,SS304,4-20 mA,,,,NOS,Yokogawa,YOK-LT-4-20mA-27,Trichy Complex,Slow-Moving,14085,2024-04-01,93914.3
SAIL,Steel,SAIL-300135,3C x 95 sq mm Distribution Transformer - XLPE Insulated 300#,Electrical,Distribution Transformer,IS 7098,XLPE Insulated,3C x 95 sq mm,,,,MTR,Crompton Greaves,CROGRE-DT-3Cx95sqmm-45,Bokaro Steel Plant,Obsolete,5338,2024-01-17,78976.85
Coal India,Mining,CIL-400125,IND.3C x 95 sq mm DISTRIBUTION TRANSFORMER - XLPE Insulated 600#,Electrical,Distribution Transformer,IS 7098,XLPE Insulated,3C x 95 sq mm,,,,MTR,Crompton Greaves,CROGRE-DT-3Cx95sqmm-51,Korba Coalfields,Slow-Moving,14417,2025-11-10,88292.22
SAIL,Steel,SAIL-300136,"STORES ITEM Induction Motor, Aluminium, SIZE 3C x 95 sq mm 150#",Electrical,Induction Motor,IEC 60502,Aluminium,3C x 95 sq mm,1000 m,,,MTR,BHEL,BHE-IM-3Cx95sqmm-32,Bhilai Steel Plant,Active,11438,2024-08-12,68258.65
ONGC,Oil & Gas,ONGC-100130,SPARE-3C x 95 sq mm INDUCTION MOTOR - Aluminium 300#,Electrical,Induction Motor,IEC 60502,Aluminium,3C x 95 sq mm,1000 m,,,MTR,BHEL,BHE-IM-3Cx95sqmm-03,Ankleshwar Asset,Active,13942,2025-06-15,62318.53
HPCL,Oil & Gas,HPCL-120132,"FLANGE, SS316L, SIZE DN 80 600#",Pipes & Fittings,Flange,ASME B16.5,SS316L,DN 80,6 m,DN 80,Galvanized,MTR,Tata Steel,TATSTE-F-DN80-75,Bhatinda Refinery,Active,1767,2025-09-10,6221.14
NMDC,Mining,NMDC-410127,SPARE-Flange 300# SS316L DN 80,Pipes & Fittings,Flange,ASME B16.5,SS316L,DN 80,6 m,DN 80,Galvanized,MTR,Tata Steel,TATSTE-F-DN80-59,Bailadila Iron Ore Mine,Active,2857,2024-01-23,6250.28
Coal India,Mining,CIL-400126,M16 x 65 Hex Bolt - Grade 8.8 600#,Fasteners,Hex Bolt,ASTM A193,Grade 8.8,M16 x 65,65 mm,,,NOS,Unbrako,UNB-HB-M16x65-51,Korba Coalfields,Active,9386,2025-06-04,2043.91
NTPC,Power,NTPC-200123,"Hex Bolt, Grade 10.9, SIZE M16 x 65 150#",Fasteners,Hex Bolt,ASTM A193,Grade 10.9,M16 x 65,65 mm,,,NOS,Unbrako,UNB-HB-M16x65-92,Singrauli STPS,Active,12016,2024-06-14,2124.09
NMDC,Mining,NMDC-410128,IND.M16 x 65 Hex Bolt - Grade 8.8 300#,Fasteners,Hex Bolt,ASME B18.2.1,Grade 8.8,M16 x 65,65 mm,,None,KG,Precision Fasteners,PREFAS-HB-M16x65-24,Donimalai Iron Ore Mine,Slow-Moving,14452,2024-09-15,2757.73
HPCL,Oil & Gas,HPCL-120133,SPARE-Hex Bolt M16 x 65 Grade 10.9 600#,Fasteners,Hex Bolt,ASME B18.2.1,Grade 10.9,M16 x 65,65 mm,,None,KG,Precision Fasteners,PREFAS-HB-M16x65-83,Visakh Refinery,Active,384,2025-09-12,2794.65
NMDC,Mining,NMDC-410129,"Hex Bolt, Grade 8.8, SIZE M16 x 65 150#",Fasteners,Hex Bolt,IS 1367,Grade 8.8,M16 x 65,65 mm,,Zinc Plated,NOS,GKW,GKW-HB-M16x65-24,Donimalai Iron Ore Mine,Active,9454,2024-06-30,652.57
BHEL,Heavy Engineering,BHEL-500126,"STORES ITEM Hex Bolt, Grade 10.9, SIZE M16 x 65 600#",Fasteners,Hex Bolt,IS 1367,Grade 10.9,M16 x 65,65 mm,,Zinc Plated,NOS,GKW,GKW-HB-M16x65-69,Hazira Complex,Active,3005,2025-08-27,575.56
Coal India,Mining,CIL-400127,SPARE-Socket Head Screw 150# SS304 M24 x 100,Fasteners,Socket Head Screw,ASTM A193,SS304,M24 x 100,100 mm,,None,NOS,Unbrako,UNB-SHS-M24x100-63,Korba Coalfields,Active,7921,2025-11-06,1630.41
ONGC,Oil & Gas,ONGC-100131,M24 x 100 SOCKET HEAD SCREW - SS316 300#,Fasteners,Socket Head Screw,ASTM A193,SS316,M24 x 100,100 mm,,None,NOS,Unbrako,UNB-SHS-M24x100-58,Ankleshwar Asset,Active,1399,2025-05-17,1602.55
ONGC,Oil & Gas,ONGC-100132,RUBBER GASKET 2 in NBR 150#,Seals,Rubber Gasket,ASME B16.20,NBR,2 in,,,,NOS,Sealol,SEA-RG-2in-76,Rajahmundry Asset,Active,5013,2025-01-29,19168.86
NMDC,Mining,NMDC-410130,IND.Rubber Gasket 600# NBR 2 in,Seals,Rubber Gasket,ASME B16.20,NBR,2 in,,,,NOS,Sealol,SEA-RG-2in-23,Kirandul Complex,Active,3092,2024-08-14,18436.0
BHEL,Heavy Engineering,BHEL-500127,STORES ITEM 2 in x 1.5 in VERTICAL TURBINE PUMP - Cast Iron 150#,Pumps,Vertical Turbine Pump,IS 1520,Cast Iron,2 in x 1.5 in,,,,SET,Kirloskar,KIR-VTP-2inx1.5in-23,Bhopal Complex,Active,2371,2025-09-05,118674.55
ONGC,Oil & Gas,ONGC-100133,VERTICAL TURBINE PUMP 2 in x 1.5 in Cast Iron 300#,Pumps,Vertical Turbine Pump,IS 1520,Cast Iron,2 in x 1.5 in,,,,SET,Kirloskar,KIR-VTP-2inx1.5in-53,Rajahmundry Asset,Active,14813,2024-07-13,125130.37
ONGC,Oil & Gas,ONGC-100134,4-20 mA PRESSURE GAUGE - Brass 150#,Instrumentation,Pressure Gauge,ASME B40.100,Brass,4-20 mA,,,,NOS,Yokogawa,YOK-PG-4-20mA-09,Sivasagar Asset,Obsolete,11764,2025-12-12,72525.25
IOCL,Oil & Gas,IOCL-110114,STORES ITEM Pressure Gauge 600# Brass 4-20 mA,Instrumentation,Pressure Gauge,ASME B40.100,Brass,4-20 mA,,,,NOS,Yokogawa,YOK-PG-4-20mA-14,Haldia Refinery,Active,8208,2024-07-24,71898.18
ONGC,Oil & Gas,ONGC-100135,BRG BALL 30205 Chrome Steel 150#,Bearings,Ball Bearing,ISO 15,Chrome Steel,30205,,,,NOS,FAG,FAG-BB-30205-48,Uran Plant,Active,8301,2024-07-12,16796.1
Coal India,Mining,CIL-400128,"IND.Ball Bearing, Chrome Steel, SIZE 30205 300#",Bearings,Ball Bearing,ISO 15,Chrome Steel,30205,,,,NOS,FAG,FAG-BB-30205-23,Singareni Collieries,Active,2558,2024-10-25,17148.89
SAIL,Steel,SAIL-300137,IND.Induction Motor 3C x 95 sq mm Aluminium 150#,Electrical,Induction Motor,IS 7098,Aluminium,3C x 95 sq mm,500 m,,,MTR,BHEL,BHE-IM-3Cx95sqmm-08,Durgapur Steel Plant,Active,2833,2024-11-25,44515.33
NTPC,Power,NTPC-200124,Induction Motor 300# Aluminium 3C x 95 sq mm,Electrical,Induction Motor,IS 7098,Aluminium,3C x 95 sq mm,500 m,,,MTR,BHEL,BHE-IM-3Cx95sqmm-73,Singrauli STPS,Slow-Moving,12537,2025-10-05,39741.78
BHEL,Heavy Engineering,BHEL-500128,IND.FLOW METER 300# Polycarbonate 0-500 Deg C,Instrumentation,Flow Meter,ASME B40.100,Polycarbonate,0-500 Deg C,,,,NOS,Emerson,EME-FM-0-500DegC-82,Bhopal Complex,Active,5950,2024-08-17,30686.34
IOCL,Oil & Gas,IOCL-110115,IND.0-500 Deg C FLOW METER - Polycarbonate 600#,Instrumentation,Flow Meter,ASME B40.100,Polycarbonate,0-500 Deg C,,,,NOS,Emerson,EME-FM-0-500DegC-95,Haldia Refinery,Active,6773,2025-12-28,32302.87
NTPC,Power,NTPC-200125,GEAR PUMP 600# Carbon Steel 3 in x 2 in,Pumps,Gear Pump,ISO 2858,Carbon Steel,3 in x 2 in,,,,SET,WPIL,WPI-GP-3inx2in-27,Korba STPS,Obsolete,11998,2025-11-06,121750.73
HPCL,Oil & Gas,HPCL-120134,"IND.Gear Pump, Alloy Steel, SIZE 3 in x 2 in 300#",Pumps,Gear Pump,ISO 2858,Alloy Steel,3 in x 2 in,,,,SET,WPIL,WPI-GP-3inx2in-51,Mumbai Refinery,Active,13696,2025-09-30,127842.56
BHEL,Heavy Engineering,BHEL-500129,STORES ITEM 415V 100A Switchgear Panel - XLPE Insulated 150#,Electrical,Switchgear Panel,IEC 60502,XLPE Insulated,415V 100A,,,,MTR,ABB,ABB-SP-415V100A-35,Trichy Complex,Active,5235,2025-04-24,95274.9
ONGC,Oil & Gas,ONGC-100136,IND.415V 100A Switchgear Panel - XLPE Insulated 300#,Electrical,Switchgear Panel,IEC 60502,XLPE Insulated,415V 100A,,,,MTR,ABB,ABB-SP-415V100A-11,Mumbai Offshore Complex,Slow-Moving,5183,2024-12-31,100934.08
